-9.6562,0,0,-17.363,0,0
-3.8968,-1.7764e-15,0,-3.9567,0,0
-2.8986,-8.8818e-16,0,-1.2156,0,0
-0.00041554,0,0,-0.054379,0,0
-1.241,0,0,0.19881,0,0
-0.26292,0,0,-0.06536,0,0
-0.24536,0,0,0.015454,1.3878e-17,0
-0.27173,0,0,0.042993,0,0
-0.20212,0,0,0.00071895,0,0
-0.14194,0,0,-0.022931,0,0
-0.1064,0,0,-0.022424,0,0
-0.076615,0,0,-0.020304,0,0
-0.038102,-2.2204e-16,0,-0.025998,0,0
0.011092,0,0,-0.03813,0,0
0.071619,0,0,-0.054942,0,0
0.14872,0,0,-0.087226,0,0
0.25865,2.2204e-16,0,-0.1494,0,0
0.40757,0,0,-0.22093,0,0
0.52635,2.2204e-16,0,0.88506,0,0
-2.3858,0,0,22.154,0,0
0,1.7295,0,0,2.1787,0
0,-1.1039,0,0,1.7247,0
0,-0.30319,0,0,-0.075528,0
0,-0.12101,0,0,1.2986,0
0,0.023326,0,0,0.35369,0
0,0.044532,0,0,0.93717,0
0,0.073541,0,0,0.87033,0
0,0.075244,0,0,1.068,0
0,0.077499,0,0,1.1901,0
0,0.074689,0,0,1.3286,0
0,0.069677,0,0,1.4545,0
0,0.061484,0,-8.8818e-16,1.5666,0
0,0.049789,0,0,1.6556,0
0,0.034401,0,0,1.7019,0
2.2204e-16,-0.020757,0,0,1.6928,0
2.2204e-16,-0.27361,0,0,1.5187,0
0,-0.47692,0,0,0.96753,0
0,-0.36766,0,0,0.038516,0
0,-0.18259,0,0,-0.70727,0
0,0.53594,0,0,-0.76346,0
0.805,0,0,-0.18793,0,0
0.44448,0,0,0.081149,0,0
0.28645,0,0,-0.19185,0,0
-0.027783,-1.1102e-16,0,-0.16335,0,0
-0.36504,0,0,0.25967,5.5511e-17,0
-0.94021,0,0,0.56254,0,0
-1.4598,0,0,0.38423,0,0
-1.66,0,0,0.12664,0,0
-1.7658,0,0,0.062047,0,0
-1.8122,0,0,0.030637,0,0
-1.7946,0,0,0.0066635,0,0
-1.7359,0,0,-0.0020308,-2.2204e-16,0
-1.6799,0,0,0.0019626,0,0
-1.6667,0,0,0.0059969,0,0
-1.6371,1.7764e-15,0,-0.01037,0,0
-1.3219,0,0,-0.053487,-2.2204e-16,0
-0.59387,0,0,-0.077155,0,0
-2.1291,0,0,-0.011896,0,0
-0.097054,0,0,-0.048097,-1.1102e-16,0
-0.84904,0,0,-0.77538,1.1102e-16,0
0,-17.4,0,0,0.63146,0
0,-0.18814,0,-1.1102e-16,-0.02369,0
0,0.037838,0,-1.1102e-16,0.058671,0
0,0.010359,0,0,0.083024,0
0,-0.0073644,0,0,0.12394,0
0,-0.0060394,0,2.2204e-16,0.12292,0
0,-0.010687,0,0,0.1431,0
0,-0.0098048,0,0,0.15349,0
0,-0.0092462,0,0,0.17097,0
0,-0.0079582,0,0,0.19201,0
0,-0.0046182,0,4.4409e-16,0.22342,0
0,-0.0042084,0,0,0.25256,0
-5.5511e-17,0.015058,0,4.4409e-16,0.34184,0
0,-0.0019758,0,0,0.32969,0
-1.1102e-16,0.092062,0,0,0.67008,0
0,0.061208,0,0,0.4588,0
0,0.41095,0,0,1.4979,0
0,0.72873,0,0,1.5129,0
0,3.1451,0,0,3.6497,0
0,13.148,0,0,9.4072,0
